# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  136       5.055100114583e-10       1.575431563464e-13      -5.809383639872e-12       8.485871618901e-16       4.707080486760e-12       7.924917535006e-13      -5.104524247044e-15 
  137       5.099469016385e-10       1.579100727854e-13      -5.858089453003e-12       8.618862941047e-16       4.611012736471e-12       7.799493471410e-13      -5.040683930440e-15 
  138       5.143786121194e-10       1.582097449833e-13      -5.904409608911e-12       8.753177124667e-16       4.517606125847e-12       7.677070157552e-13      -4.978108361116e-15 
  139       5.188038952538e-10       1.584419937375e-13      -5.948283618676e-12       8.888825701932e-16       4.426756622922e-12       7.557491958212e-13      -4.916478997821e-15 
  140       5.232214336612e-10       1.586067162397e-13      -5.989651818002e-12       9.025820395088e-16       4.338344124102e-12       7.440581406384e-13      -4.855452546350e-15 
  141       5.276298386690e-10       1.587038877448e-13      -6.028455403585e-12       9.164173117917e-16       4.252232089178e-12       7.326138710479e-13      -4.794660464217e-15 
  142       5.320276487536e-10       1.587335632387e-13      -6.064636469477e-12       9.303895977208e-16       4.168267176334e-12       7.213941261536e-13      -4.733708465321e-15 
  143       5.364133279821e-10       1.586958791069e-13      -6.098138043442e-12       9.445001274221e-16       4.086278877160e-12       7.103743140421e-13      -4.672176024613e-15 
  144       5.407853929037e-10       1.585910698753e-13      -6.128904480437e-12       9.587500359284e-16       4.006115276175e-12       6.995328646321e-13      -4.609704368353e-15 
  145       5.451428106159e-10       1.584195167711e-13      -6.156882609973e-12       9.731400065223e-16       3.927755073215e-12       6.888679870154e-13      -4.546271267253e-15 
  146       5.494846371617e-10       1.581817071430e-13      -6.182020771519e-12       9.876705923465e-16       3.851205962541e-12       6.783824781781e-13      -4.481942518770e-15 
  147       5.538098917905e-10       1.578782215582e-13      -6.204268505623e-12       1.002342327426e-15       3.776469344024e-12       6.680784511468e-13      -4.416785907239e-15 
  148       5.581175561364e-10       1.575097355567e-13      -6.223576592329e-12       1.017155726154e-15       3.703540165770e-12       6.579573167559e-13      -4.350871217075e-15 
  149       5.624065733989e-10       1.570770214069e-13      -6.239897089594e-12       1.032111282782e-15       3.632406766745e-12       6.480197654149e-13      -4.284270245983e-15 
  150       5.666758475214e-10       1.565809498603e-13      -6.253183371704e-12       1.047209470906e-15       3.563050719394e-12       6.382657488757e-13      -4.217056818164e-15 
  151       5.709242423713e-10       1.560224919060e-13      -6.263390167686e-12       1.062450742952e-15       3.495446672268e-12       6.286944620002e-13      -4.149306797519e-15 
  152       5.751505809189e-10       1.554027205263e-13      -6.270473599729e-12       1.077835529667e-15       3.429562192648e-12       6.193043245274e-13      -4.081098100857e-15 
  153       5.793536444177e-10       1.547228124515e-13      -6.274391221598e-12       1.093364239606e-15       3.365357609163e-12       6.100929628409e-13      -4.012510711104e-15 
  154       5.835321715831e-10       1.539840499144e-13      -6.275102057047e-12       1.109037258614e-15       3.302785854419e-12       6.010571917361e-13      -3.943626690504e-15 
  155       5.876848577721e-10       1.531878224056e-13      -6.272566638238e-12       1.124854949324e-15       3.241792307621e-12       5.921929961878e-13      -3.874530193831e-15 
