# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   95       3.308702419413e-10       9.597261852867e-14      -2.595217551055e-12       0.000000000000e+00       1.239070160262e-11       1.707216290210e-12      -9.691740718848e-15 
   96       3.347176142801e-10       9.812036073463e-14      -2.682839921709e-12       0.000000000000e+00       1.205876963495e-11       1.669654059383e-12      -9.404968408486e-15 
   97       3.385939772317e-10       1.002602366762e-13      -2.771010907795e-12       0.000000000000e+00       1.173856230242e-11       1.633312412036e-12      -9.107865787286e-15 
   98       3.424990641526e-10       1.023901084000e-13      -2.859648609532e-12       0.000000000000e+00       1.142981679002e-11       1.598171964496e-12      -8.805672360711e-15 
   99       3.464324235936e-10       1.045077863089e-13      -2.948667989159e-12       0.000000000000e+00       1.113215235732e-11       1.564200813806e-12      -8.504050888186e-15 
  100       3.503934118805e-10       1.066110289493e-13      -3.037980836163e-12       0.000000000000e+00       1.084506628611e-11       1.531354096975e-12      -8.209097816486e-15 
  101       3.543811856938e-10       1.086975427973e-13      -3.127495732506e-12       0.000000000000e+00       1.056792982793e-11       1.499573550225e-12      -7.927353713109e-15 
  102       3.583946946493e-10       1.107649820454e-13      -3.217118017848e-12       0.000000000000e+00       1.029998415167e-11       1.468787068246e-12      -7.665813699655e-15 
  103       3.624326738779e-10       1.128109483892e-13      -3.306749754774e-12       0.000000000000e+00       1.004033629117e-11       1.438908263446e-12      -7.431937885210e-15 
  104       3.664939250646e-10       1.148331070311e-13      -3.396296584896e-12       0.000000000000e+00       9.788161641479e-12       1.409856094417e-12      -7.231948735168e-15 
  105       3.705782187833e-10       1.168295529976e-13      -3.485689426830e-12       0.000000000000e+00       9.543351329272e-12       1.381617720401e-12      -7.065438762579e-15 
  106       3.746855007894e-10       1.187984941390e-13      -3.574865658119e-12       0.000000000000e+00       9.305945144980e-12       1.354193355393e-12      -6.930050474286e-15 
  107       3.788156102465e-10       1.207381403813e-13      -3.663762526548e-12       0.000000000000e+00       9.075931042150e-12       1.327576739581e-12      -6.823116098112e-15 
  108       3.829682754772e-10       1.226467047906e-13      -3.752317191096e-12       0.000000000000e+00       8.853243354794e-12       1.301754919139e-12      -6.741649191357e-15 
  109       3.871431097129e-10       1.245224046360e-13      -3.840466762886e-12       0.000000000000e+00       8.637761014737e-12       1.276708026018e-12      -6.682336249288e-15 
  110       3.913396068436e-10       1.263634624542e-13      -3.928148346134e-12       0.000000000000e+00       8.429305768967e-12       1.252409057740e-12      -6.641528313636e-15 
  111       3.955571371686e-10       1.281681071125e-13      -4.015299079100e-12       0.000000000000e+00       8.227640396985e-12       1.228823657186e-12      -6.615232581087e-15 
  112       3.997949431458e-10       1.299345748727e-13      -4.101856175034e-12       0.000000000000e+00       8.032466928156e-12       1.205909892392e-12      -6.599104011775e-15 
  113       4.040521351424e-10       1.316611104549e-13      -4.187756963129e-12       0.000000000000e+00       7.843424859056e-12       1.183618036337e-12      -6.588436937779e-15 
  114       4.083276871846e-10       1.333459681014e-13      -4.272938929469e-12       0.000000000000e+00       7.660089370825e-12       1.161890346739e-12      -6.578156671614e-15 
  115       4.126204327079e-10       1.349874126398e-13      -4.357339757979e-12       0.000000000000e+00       7.481969546515e-12       1.140660845843e-12      -6.562811114726e-15 
  116       4.169292326594e-10       1.365837486779e-13      -4.440895676907e-12       0.000000000000e+00       7.308616038914e-12       1.119870506024e-12      -6.537687865132e-15 
  117       4.212535120785e-10       1.381334099392e-13      -4.523536182651e-12       0.000000000000e+00       7.139962735931e-12       1.099515371937e-12      -6.502337564637e-15 
  118       4.255927810776e-10       1.396348828366e-13      -4.605188748359e-12       0.000000000000e+00       6.976023481091e-12       1.079603902828e-12      -6.457465160187e-15 
  119       4.299464656299e-10       1.410866806120e-13      -4.685780486686e-12       0.000000000000e+00       6.816785533902e-12       1.060142007155e-12      -6.403844277332e-15 
  120       4.343139048440e-10       1.424873446487e-13      -4.765238175758e-12       0.000000000000e+00       6.662208754943e-12       1.041132958595e-12      -6.342318780074e-15 
  121       4.386943482376e-10       1.438354457839e-13      -4.843488285141e-12       0.000000000000e+00       6.512224790946e-12       1.022577312050e-12      -6.273804330729e-15 
  122       4.430869530113e-10       1.451295856210e-13      -4.920457001812e-12       0.000000000000e+00       6.366736259872e-12       1.004472819653e-12      -6.199289949781e-15 
  123       4.474907813229e-10       1.463683978420e-13      -4.996070256118e-12       0.000000000000e+00       6.225615935999e-12       9.868143467713e-13      -6.119839575739e-15 
  124       4.519047975612e-10       1.475505495201e-13      -5.070253747753e-12       0.000000000000e+00       6.088705935001e-12       9.695937880173e-13      -6.036593624994e-15 
  125       4.563278656199e-10       1.486747424319e-13      -5.142932971719e-12       0.000000000000e+00       5.955816899030e-12       9.527999832500e-13      -5.950770551676e-15 
  126       4.607587461715e-10       1.497397143701e-13      -5.214033244296e-12       0.000000000000e+00       5.826727181796e-12       9.364186335829e-13      -5.863668407509e-15 
  127       4.651960939415e-10       1.507442404558e-13      -5.283479729011e-12       0.000000000000e+00       5.701182033653e-12       9.204322173896e-13      -5.776666401669e-15 
  128       4.696384549823e-10       1.516871344508e-13      -5.351197462601e-12       0.000000000000e+00       5.578892786675e-12       9.048199063099e-13      -5.691226460639e-15 
  129       4.740844268798e-10       1.525672990081e-13      -5.417112803827e-12       0.000000000000e+00       5.459598917385e-12       8.895623326385e-13      -5.608607575557e-15 
  130       4.785331650341e-10       1.533838798684e-13      -5.481157904442e-12       0.000000000000e+00       5.343263663528e-12       8.746566612027e-13      -5.528970101278e-15 
  131       4.829839270258e-10       1.541361311377e-13      -5.543266780047e-12       0.000000000000e+00       5.229898426568e-12       8.601030198541e-13      -5.452175688235e-15 
  132       4.874359131162e-10       1.548233695126e-13      -5.603373967012e-12       0.000000000000e+00       5.119501456247e-12       8.458997475001e-13      -5.378065196557e-15 
  133       4.918882646878e-10       1.554449759424e-13      -5.661414558620e-12       0.000000000000e+00       5.012057485604e-12       8.320433448251e-13      -5.306458200744e-15 
  134       4.963400626836e-10       1.560003972919e-13      -5.717324241216e-12       0.000000000000e+00       4.907537365981e-12       8.185284250106e-13      -5.237152494332e-15 
  135       5.007903260473e-10       1.564891480041e-13      -5.771039330363e-12       0.000000000000e+00       4.805897702038e-12       8.053476644563e-13      -5.169923594560e-15 
  136       5.052380101632e-10       1.569108117625e-13      -5.822496806981e-12       0.000000000000e+00       4.707080486760e-12       7.924917535006e-13      -5.104524247044e-15 
  137       5.096820052955e-10       1.572650431543e-13      -5.871634353502e-12       0.000000000000e+00       4.611012736471e-12       7.799493471410e-13      -5.040683930440e-15 
  138       5.141211350291e-10       1.575515693322e-13      -5.918390390018e-12       0.000000000000e+00       4.517606125847e-12       7.677070157552e-13      -4.978108361116e-15 
  139       5.185541547084e-10       1.577701916778e-13      -5.962704110428e-12       0.000000000000e+00       4.426756622922e-12       7.557491958212e-13      -4.916478997821e-15 
  140       5.229797498780e-10       1.579207874636e-13      -6.004515518589e-12       0.000000000000e+00       4.338344124102e-12       7.440581406384e-13      -4.855452546350e-15 
  141       5.273965347219e-10       1.580033115161e-13      -6.043765464464e-12       0.000000000000e+00       4.252232089178e-12       7.326138710479e-13      -4.794660464217e-15 
  142       5.318030505039e-10       1.580177978780e-13      -6.080395680269e-12       0.000000000000e+00       4.168267176334e-12       7.213941261536e-13      -4.733708465321e-15 
  143       5.361977640070e-10       1.579643614711e-13      -6.114348816625e-12       0.000000000000e+00       4.086278877160e-12       7.103743140421e-13      -4.672176024613e-15 
  144       5.405791939876e-10       1.578432160625e-13      -6.145568845753e-12       0.000000000000e+00       4.006115276175e-12       6.995328646321e-13      -4.609704368353e-15 
  145       5.449463078818e-10       1.576547266501e-13      -6.174002239550e-12       0.000000000000e+00       3.927755073215e-12       6.888679870154e-13      -4.546271267253e-15 
  146       5.492981614251e-10       1.573993654264e-13      -6.199596976913e-12       0.000000000000e+00       3.851205962541e-12       6.783824781781e-13      -4.481942518770e-15 
  147       5.536337733333e-10       1.570776976789e-13      -6.222302225041e-12       0.000000000000e+00       3.776469344024e-12       6.680784511468e-13      -4.416785907239e-15 
  148       5.579521244777e-10       1.566903835469e-13      -6.242068377693e-12       0.000000000000e+00       3.703540165770e-12       6.579573167559e-13      -4.350871217075e-15 
  149       5.622521570612e-10       1.562381797772e-13      -6.258847093447e-12       0.000000000000e+00       3.632406766745e-12       6.480197654149e-13      -4.284270245983e-15 
  150       5.665327737934e-10       1.557219414810e-13      -6.272591333954e-12       0.000000000000e+00       3.563050719394e-12       6.382657488757e-13      -4.217056818164e-15 
  151       5.707928370662e-10       1.551426238898e-13      -6.283255402203e-12       0.000000000000e+00       3.495446672268e-12       6.286944620002e-13      -4.149306797519e-15 
  152       5.750311681296e-10       1.545012841119e-13      -6.290794980776e-12       0.000000000000e+00       3.429562192648e-12       6.193043245274e-13      -4.081098100857e-15 
  153       5.792465462671e-10       1.537990828888e-13      -6.295167170105e-12       0.000000000000e+00       3.365357609163e-12       6.100929628409e-13      -4.012510711104e-15 
  154       5.834377079714e-10       1.530372863511e-13      -6.296330526732e-12       0.000000000000e+00       3.302785854419e-12       6.010571917361e-13      -3.943626690504e-15 
  155       5.876033461197e-10       1.522172677753e-13      -6.294245101567e-12       0.000000000000e+00       3.241792307621e-12       5.921929961878e-13      -3.874530193831e-15 
  156       5.917421091496e-10       1.513405093399e-13      -6.288872478147e-12       0.000000000000e+00       3.182314637194e-12       5.834955131171e-13      -3.805307481590e-15 
  157       5.958526002342e-10       1.504086038817e-13      -6.280175810893e-12       0.000000000000e+00       3.124282643407e-12       5.749590131593e-13      -3.736046933229e-15 
  158       5.999333764582e-10       1.494232566519e-13      -6.268119863370e-12       0.000000000000e+00       3.067618100998e-12       5.665768824310e-13      -3.666839060342e-15 
  159       6.039829479931e-10       1.483862870731e-13      -6.252671046543e-12       0.000000000000e+00       3.012234601799e-12       5.583416042974e-13      -3.597776519875e-15 
  160       6.079997772730e-10       1.472996304947e-13      -6.233797457037e-12       0.000000000000e+00       2.958037397351e-12       5.502447411395e-13      -3.528954127335e-15 
  161       6.119823882556e-10       1.461653005085e-13      -6.211468912951e-12       0.000000000000e+00       2.904942816846e-12       5.422789542608e-13      -3.460457822896e-15 
  162       6.159297067958e-10       1.449852684610e-13      -6.185656984536e-12       0.000000000000e+00       2.852938781031e-12       5.344443026182e-13      -3.392330445461e-15 
  163       6.198407489371e-10       1.437615765929e-13      -6.156335039360e-12       0.000000000000e+00       2.802029363851e-12       5.267424688523e-13      -3.324602943056e-15 
  164       6.237145132172e-10       1.424963780842e-13      -6.123478282941e-12       0.000000000000e+00       2.752215631660e-12       5.191747624610e-13      -3.257305110392e-15 
  165       6.275499803505e-10       1.411919386297e-13      -6.087063796990e-12       0.000000000000e+00       2.703495575915e-12       5.117421109440e-13      -3.190465551245e-15 
  166       6.313461129096e-10       1.398506380129e-13      -6.047070577662e-12       0.000000000000e+00       2.655864045859e-12       5.044450509476e-13      -3.124111640832e-15 
  167       6.351018550081e-10       1.384749716817e-13      -6.003479573801e-12       0.000000000000e+00       2.609312681208e-12       4.972837194093e-13      -3.058269488197e-15 
  168       6.388161319818e-10       1.370675523228e-13      -5.956273725186e-12       0.000000000000e+00       2.563829844839e-12       4.902578447022e-13      -2.992963898587e-15 
  169       6.424878500715e-10       1.356311114367e-13      -5.905438000781e-12       0.000000000000e+00       2.519400555478e-12       4.833667377794e-13      -2.928218335831e-15 
  170       6.461158961046e-10       1.341685009124e-13      -5.850959436982e-12       0.000000000000e+00       2.476006420382e-12       4.766092833192e-13      -2.864054884726e-15 
